"","ybar","theta_hat"
"Aglianico del Vulture",93.6642977292038,93.6631170287602
"Alto Adige",92.7120085531864,92.7117277595718
"Alto Adige Valle Isarco",91.2265405818106,91.2281347972341
"Asolo Prosecco Superiore",92.8006880591701,92.8000656844042
"Asti",87.6621134192178,87.6667339174185
"Barbera d'Alba",91.8889099238356,91.8884464230768
"Barbera d'Alba Superiore",95.1984829566278,95.1939771589436
"Barbera d'Asti",93.2470363031832,93.2464303540051
"Barbera d'Asti Superiore",94.9173280316621,94.9164937444869
"Bardolino",93.635286014285,93.6340864674647
"Bardolino Chiaretto",93.557865852105,93.5567988368309
"Bardolino Classico",88.6651977512917,88.6717301244525
"Basilicata",92.7238216395861,92.7236583530153
"Beneventano",93.0425844792652,93.0428527253544
"Bolgheri",92.9218234001004,92.9214072248918
"Campania",92.0917757206534,92.0924627141299
"Campi Flegrei",93.142624065617,93.1420230914875
"Cannonau di Sardegna",95.0250955015505,95.0243439236269
"Carignano del Sulcis",93.3307489851288,93.3292028131581
"Carmignano",96.1586605584644,96.1548454089247
"Castel del Monte",92.5771494795284,92.5774237554047
"Cerasuolo di Vittoria",90.5710415267901,90.5747012098603
"Cerasuolo di Vittoria Classico",96.4240481778772,96.4190144215763
"Cesanese del Piglio",91.7625838156526,91.7632260102465
"Chianti",91.8804762021282,91.880526519737
"Chianti Classico",92.5856525356283,92.5859605513765
"Chianti Colli Fiorentini",93.181618279088,93.1811685801865
"Chianti Colli Senesi",91.9188322924866,91.9190588390038
"Chianti Montalbano",97.3948872033472,97.3883855987046
"Chianti Rufina",92.5706178967835,92.5700833123136
"Chianti Superiore",92.8021364456599,92.8022527549363
"Cirò",89.2236732629665,89.2278161159662
"Colli Aprutini",92.035542470473,92.035949341725
"Colli Orientali del Friuli",92.7520646720249,92.7520914413444
"Colline Novaresi",93.7787160088219,93.7790166966104
"Colline Pescaresi",93.7255636208954,93.7233411074353
"Collio",92.1860593874275,92.1858862133505
"Conegliano Valdobbiadene Prosecco Superiore",92.8927188989388,92.8927519080471
"Cortona",94.0171934953554,94.0161375323361
"Delle Venezie",91.8297570317623,91.8295456040477
"Dogliani",91.5508399818252,91.5529760275305
"Dolcetto d'Alba",93.4265733796656,93.4263028727638
"Emilia",89.9314286392878,89.9350195097854
"Emilia-Romagna",92.8157419913327,92.8141262134757
"Etna",93.5746953958528,93.5741925662434
"Falanghina del Sannio",96.3496838320123,96.3449178887993
"Falerio",92.7165163251772,92.7161912310971
"Fiano di Avellino",91.9305857557654,91.9304686148816
"Frascati Superiore",94.9341958985754,94.9307655256643
"Friuli",93.8244909835363,93.8235585497988
"Friuli Aquileia",90.3016141688909,90.3027215674156
"Friuli Colli Orientali",92.8092793685576,92.8082154869187
"Friuli Grave",91.6006036304167,91.6010400128296
"Gavi",92.8323223372824,92.8327454581829
"Greco di Tufo",94.856208251317,94.8545746031128
"Irpinia",92.8147219496852,92.815559263563
"Isola dei Nuraghi",91.5152678356604,91.5166226265394
"Isonzo del Friuli",89.962959012199,89.9672748278666
"Italy",91.8742856884391,91.8744039261599
"Lacryma Christi del Vesuvio",93.2144231471734,93.2132303316148
"Lambrusco dell'Emilia",96.4401368917451,96.4354875151203
"Lambrusco di Sorbara",94.6699034487805,94.6693352828126
"Lambrusco Grasparossa di Castelvetro",91.9188271941879,91.9188635677857
"Langhe",91.6908091043209,91.6908828500416
"Lazio",91.9446967984566,91.9454082176202
"Lugana",94.1691406759818,94.1689073452123
"Marche",91.2389955596851,91.2394379644708
"Maremma",92.1167946943207,92.1167789083175
"Maremma Toscana",93.5797240112358,93.5785603917308
"Molise",92.0560196979742,92.0569423603722
"Monferrato",92.4463508104843,92.4471765142039
"Monica di Sardegna",92.1471218776512,92.14609509787
"Montecucco",92.0318556965664,92.0321081883497
"Montefalco Rosso",95.6851617287613,95.6839341456924
"Montepulciano d'Abruzzo",92.2208288168432,92.2205558265821
"Morellino di Scansano",93.8152972120523,93.8149499972283
"Moscato d'Asti",92.1869881234287,92.1871997166816
"Nebbiolo d'Alba",94.1631361353489,94.1619255068636
"Offida Pecorino",94.3725999944671,94.3718885853237
"Orvieto",91.4720775507007,91.4735233647634
"Orvieto Classico",88.4418432604099,88.4461607296449
"Orvieto Classico Superiore",95.0874473954056,95.0851184220274
"Piave",91.1047412637939,91.1057058661838
"Piedmont",90.2909253429493,90.2916298929035
"Primitivo di Manduria",92.656824655738,92.6567932378888
"Prosecco",91.1106817799472,91.1107069500855
"Prosecco del Veneto",90.5347574724315,90.5354590897655
"Prosecco di Conegliano",91.5883856425326,91.5884702097477
"Prosecco di Conegliano e Valdobbiadene",91.93765640464,91.9381240708303
"Prosecco di Valdobbiadene",93.7644718660652,93.7642437153289
"Prosecco Treviso",93.55649274273,93.5563028564438
"Puglia",93.5777022141897,93.5776668756449
"Roero",93.9604825015554,93.9599650281244
"Romagna",92.9603066899921,92.9602330566938
"Rosso Conero",91.5023590308756,91.50306310212
"Rosso del Veronese",89.0895285961166,89.095305928442
"Rosso di Montalcino",94.0256359152507,94.0249836930557
"Rosso di Montepulciano",92.4578268580494,92.4576814357687
"Rosso Piceno",91.3128054857135,91.3135742318454
"Rosso Piceno Superiore",94.5501375875737,94.5488089500011
"Salento",92.9150862711671,92.9150848976956
"Salice Salentino",93.36708962498,93.3660603568399
"Sangiovese di Romagna Superiore",94.9801266993827,94.9766341244432
"Sannio",92.0954767275691,92.0962991185747
"Sicilia",92.3735813843587,92.3735730250268
"Soave",91.5689222215928,91.5694657478002
"Soave Classico",92.4960675458859,92.4961288510927
"Soave Classico Superiore",92.1898866252645,92.1896215463556
"Taburno",90.9674583649546,90.9694439301069
"Terra degli Osci",94.4335035880149,94.4311869690094
"Terre di Chieti",92.2340481574496,92.2349253670262
"Terre Siciliane",92.5788245129071,92.5787949460758
"Toscana",92.2289303468639,92.2289998989714
"Trebbiano d'Abruzzo",92.1567407194332,92.1560811039374
"Trentino",93.0464569816464,93.0467396879214
"Trento",92.2444217324253,92.2446172014345
"Umbria",93.1389857011657,93.139260842514
"Valdadige",92.5783742799265,92.5774797141578
"Valdobbiadene Prosecco Superiore",93.8915527578868,93.8914912710506
"Valpolicella",89.9190935541154,89.9201466302493
"Valpolicella Classico",92.4837374689916,92.483697437247
"Valpolicella Classico Superiore",92.8029213882177,92.8020521090377
"Valpolicella Classico Superiore Ripasso",93.6034148819259,93.6035469627189
"Valpolicella Ripasso",93.1950924671992,93.1938821224049
"Valpolicella Superiore",93.30313978888,93.3042415688673
"Valpolicella Superiore Ripasso",91.1149295394244,91.1153324545076
"Veneto",90.8123545164402,90.8126591048673
"Venezia",90.150786792548,90.1532128969952
"Venezia Giulia",91.2590085184829,91.2596426970231
"Venezie",90.7485030912509,90.7496648256766
"Verdicchio dei Castelli di Jesi",89.656629127115,89.6592675734574
"Verdicchio dei Castelli di Jesi Classico",92.1815362492321,92.1814846876804
"Verdicchio dei Castelli di Jesi Classico Superiore",94.4800007437196,94.4794136772562
"Verdicchio di Matelica",94.5980466368041,94.595785329998
"Vermentino di Gallura",90.4517700196957,90.4553333988181
"Vermentino di Sardegna",93.0903304521885,93.0899745311726
"Vernaccia di San Gimignano",92.425774864812,92.4256820261281
"Veronese",88.5283270212309,88.5335026709419
"Vigneti delle Dolomiti",90.8682487964028,90.8687781036953
"Vino Nobile di Montepulciano",92.4201971968572,92.4200521598421
"Vino Spumante",89.6733988414783,89.6762934454727
"Vittoria",89.714535830609,89.7180136309253
