"","region_1","country","variety","points"
"7","Vittoria","Italy","Frappato",87.7445943122546
"23","Sicilia","Italy","White Blend",97.8781617923561
"27","Terre Siciliane","Italy","White Blend",94.2093945691504
"28","Terre Siciliane","Italy","Nero d'Avola",92.5021189830935
"29","Cerasuolo di Vittoria","Italy","Red Blend",86.2370310783511
"39","Puglia","Italy","Primitivo",96.8678019707496
"40","Sicilia","Italy","Nero d'Avola",89.6434036335833
"41","Sicilia","Italy","Catarratto",87.5177627335752
"47","Sicilia","Italy","Inzolia",103.917573660847
"53","Monica di Sardegna","Italy","Monica",99.9508687222584
"58","Sicilia","Italy","Grillo",94.5804100879106
"62","Romagna","Italy","Sangiovese",97.8071985174618
"90","Toscana","Italy","Rosato",90.1915485739805
"105","Toscana","Italy","Red Blend",89.9401309904762
"106","Toscana","Italy","White Blend",87.1735310628203
"108","Toscana","Italy","Vermentino",92.721870006346
"113","Toscana","Italy","Red Blend",92.4345685823572
"114","Toscana","Italy","White Blend",77.0588337021563
"197","Vernaccia di San Gimignano","Italy","Vernaccia",90.5470143858393
"235","Montepulciano d'Abruzzo","Italy","Montepulciano",84.7282381145666
"275","Monferrato","Italy","White Blend",100.168002453649
"311","Langhe","Italy","Nebbiolo",82.5602175872535
"316","Prosecco di Valdobbiadene","Italy","Prosecco",94.239599126195
"322","Prosecco di Valdobbiadene","Italy","Prosecco",95.9516488393312
"323","Prosecco di Valdobbiadene","Italy","Prosecco",91.5685532145333
"325","Prosecco di Conegliano","Italy","Prosecco",84.7541893076346
"327","Prosecco di Valdobbiadene","Italy","Prosecco",88.4227107608893
"333","Prosecco di Conegliano","Italy","Prosecco",94.9154230167269
"334","Prosecco di Valdobbiadene","Italy","Prosecco",96.3637741507057
"336","Prosecco di Conegliano","Italy","Prosecco",106.267790534153
"373","Soave","Italy","White Blend",95.5464450049142
"374","Collio","Italy","Sauvignon Blanc",94.5873315448998
"377","Colli Orientali del Friuli","Italy","Pinot Grigio",99.4875866147733
"380","Trentino","Italy","White Blend",96.4367549551238
"384","Valdadige","Italy","Chardonnay",86.4569265974028
"390","Alto Adige","Italy","White Blend",104.831355060646
"401","Italy","Italy","Prosecco",87.9109040625317
"402","Prosecco di Valdobbiadene","Italy","Prosecco",90.7729547794018
"406","Prosecco del Veneto","Italy","Prosecco",93.2162814274702
"409","Prosecco di Conegliano e Valdobbiadene","Italy","Prosecco",94.2335367878304
"414","Prosecco del Veneto","Italy","Prosecco",94.3276565335156
"415","Prosecco del Veneto","Italy","Prosecco",95.1004403061081
"417","Prosecco del Veneto","Italy","Prosecco",85.8746407079018
"437","Gavi","Italy","Cortese",98.8232168005087
"480","Cannonau di Sardegna","Italy","Cannonau",87.3656478477789
"482","Isola dei Nuraghi","Italy","Cannonau",92.874530785957
"488","Colli Orientali del Friuli","Italy","White Blend",79.1248575016298
"489","Friuli Grave","Italy","Pinot Grigio",90.3975302463484
"490","Friuli Grave","Italy","Sauvignon",94.3310901694115
"507","Venezia Giulia","Italy","White Blend",99.501528087011
"573","Dolcetto d'Alba","Italy","Dolcetto",93.0600380862181
"601","Gavi","Italy","Cortese",94.3727660285193
"615","Soave Classico","Italy","Garganega",101.261291472266
"620","Piedmont","Italy","Chardonnay",84.1879510569085
"626","Soave","Italy","Garganega",86.5295598123189
"628","Monferrato","Italy","White Blend",91.6640681654496
"778","Colli Orientali del Friuli","Italy","Verduzzo",89.756317644812
"863","Etna","Italy","Rosato",96.3014895004648
"965","Lugana","Italy","Trebbiano",101.024566965592
"976","Sicilia","Italy","Pinot Noir",94.9058113486067
"983","Piave","Italy","Cabernet Sauvignon",89.0920905466351
"997","Sicilia","Italy","Syrah",88.1544366903346
"1036","Terre Siciliane","Italy","Nero d'Avola",86.6237856025787
"1045","Isonzo del Friuli","Italy","Pinot Grigio",99.0065538081807
"1055","Colli Orientali del Friuli","Italy","Ribolla Gialla",89.5163001358943
"1119","Rosso di Montepulciano","Italy","Red Blend",97.4948468118573
"1138","Terre Siciliane","Italy","Nero d'Avola",90.3701949237938
"1139","Basilicata","Italy","Rosato",85.494761257887
"1149","Sicilia","Italy","Nero d'Avola",86.1758141227999
"1162","Prosecco del Veneto","Italy","Prosecco",96.2934687730351
"1163","Prosecco di Conegliano","Italy","Prosecco",86.6746657097722
"1165","Prosecco di Valdobbiadene","Italy","Prosecco",94.8661135386783
"1168","Prosecco del Veneto","Italy","Prosecco",84.0997734343487
"1170","Prosecco del Veneto","Italy","Prosecco",93.831655356219
"1177","Prosecco di Valdobbiadene","Italy","Prosecco",83.6427368718068
"1238","Chianti Classico","Italy","Sangiovese",88.6368018130045
"1269","Sicilia","Italy","Insolia",94.4515558785686
"1279","Sicilia","Italy","Nero d'Avola",81.9153512506105
"1284","Sicilia","Italy","Nero d'Avola",89.4241942610508
"1289","Alto Adige","Italy","Red Blend",96.110647841485
"1293","Trentino","Italy","Sauvignon",95.8271868299826
"1313","Alto Adige","Italy","Pinot Nero",86.5019670666841
"1345","Sicilia","Italy","Grillo",101.439869488042
"1351","Sannio","Italy","Falanghina",90.3965631779232
"1362","Sicilia","Italy","Grillo",89.5523955843835
"1364","Puglia","Italy","Negroamaro",98.9887448512934
"1373","Venezia Giulia","Italy","Pinot Bianco",81.2760030735407
"1400","Alto Adige","Italy","Sauvignon",101.157163815857
"1475","Montefalco Rosso","Italy","Red Blend",90.4278623553731
"1476","Colli Orientali del Friuli","Italy","Pinot Grigio",94.0731287618852
"1490","Toscana","Italy","Sangiovese",94.3532004688728
"1492","Umbria","Italy","Pinot Grigio",96.0790481849561
"1499","Collio","Italy","Pinot Grigio",80.2224533616739
"1545","Puglia","Italy","Rosato",94.0791815435048
"1589","Terre Siciliane","Italy","Nero d'Avola",103.063455876716
"1663","Montepulciano d'Abruzzo","Italy","Montepulciano",93.7335263847998
"1669","Montepulciano d'Abruzzo","Italy","Montepulciano",91.4983392560664
"1700","Maremma","Italy","Red Blend",99.7464858047878
"1706","Toscana","Italy","Sangiovese",96.3196183667188
"1973","Etna","Italy","Red Blend",95.218243651579
"1976","Primitivo di Manduria","Italy","Primitivo",91.3773725174416
"1978","Salento","Italy","Negroamaro",96.5367553309155
"1984","Sicilia","Italy","Syrah",97.6937919762462
"1998","Terre Siciliane","Italy","Nero d'Avola",92.1070513219043
"2001","Sicilia","Italy","Inzolia",95.2700789920339
"2024","Venezia Giulia","Italy","Refosco",88.3860910455591
"2029","Vigneti delle Dolomiti","Italy","Pinot Grigio",92.4326192817025
"2030","Lugana","Italy","Turbiana",84.4366072904804
"2037","Soave Classico","Italy","White Blend",94.0590988623426
"2038","Alto Adige","Italy","Pinot Bianco",79.543173637195
"2093","Alto Adige","Italy","Pinot Grigio",95.087995759573
"2107","Collio","Italy","Pinot Grigio",94.6175450355616
"2109","Delle Venezie","Italy","Chardonnay",86.7750127015672
"2130","Roero","Italy","Nebbiolo",92.3024769431932
"2134","Barbera d'Asti","Italy","Barbera",92.9612429742998
"2135","Montepulciano d'Abruzzo","Italy","Montepulciano",96.8607973168377
"2140","Montepulciano d'Abruzzo","Italy","Montepulciano",92.9433627925404
"2148","Montepulciano d'Abruzzo","Italy","Montepulciano",88.3947395417133
"2149","Montepulciano d'Abruzzo","Italy","Montepulciano",86.0038773305734
"2160","Montepulciano d'Abruzzo","Italy","Montepulciano",91.5930370525794
"2261","Barbera d'Asti","Italy","Barbera",92.5032937724265
"2277","Rosso di Montepulciano","Italy","Red Blend",90.7869550305854
"2283","Chianti Classico","Italy","Red Blend",96.5543651082147
"2402","Sicilia","Italy","Nero d'Avola",97.0049027118918
"2410","Sicilia","Italy","Grillo",95.5833812846926
"2413","Monica di Sardegna","Italy","Monica",94.7703018991466
"2417","Terra degli Osci","Italy","Sangiovese",87.2593048015744
"2435","Puglia","Italy","Rosato",92.3529055512469
"2439","Montefalco Rosso","Italy","Red Blend",86.0992603387512
"2446","Montefalco Rosso","Italy","Red Blend",96.192760090518
"2497","Soave Classico","Italy","Garganega",98.8126653195768
"2527","Alto Adige","Italy","Lagrein",99.2680739022245
"2620","Molise","Italy","Red Blend",94.0051213979444
"2692","Delle Venezie","Italy","Pinot Grigio",82.5337409332884
"2703","Isonzo del Friuli","Italy","Pinot Grigio",89.8463115239198
"2713","Friuli Aquileia","Italy","Tocai",91.8842050449507
"2716","Friuli Grave","Italy","Chardonnay",98.5721010596499
"2717","Soave","Italy","Garganega",90.9164049151258
"2718","Piave","Italy","Pinot Grigio",97.7720658405188
"2726","Sicilia","Italy","Sauvignon",94.8167153234423
"2821","Chianti Colli Senesi","Italy","Sangiovese",93.1909396787648
"2834","Chianti Classico","Italy","Red Blend",91.3826388030362
"3035","Montepulciano d'Abruzzo","Italy","Montepulciano",89.7413510761816
"3086","Valpolicella Classico Superiore Ripasso","Italy","Corvina, Rondinella, Molinara",100.941532170634
"3122","Montefalco Rosso","Italy","Red Blend",85.3248376151956
"3162","Prosecco","Italy","Glera",94.0444520459466
"3163","Conegliano Valdobbiadene Prosecco Superiore","Italy","Glera",89.5667311676451
"3168","Prosecco","Italy","Glera",97.0651907046407
"3169","Conegliano Valdobbiadene Prosecco Superiore","Italy","Glera",90.0162983431599
"3170","Conegliano Valdobbiadene Prosecco Superiore","Italy","Glera",89.3067451074738
"3173","Conegliano Valdobbiadene Prosecco Superiore","Italy","Glera",99.0347178910105
"3227","Colline Pescaresi","Italy","Pecorino",96.03173204766
"3249","Chianti","Italy","Sangiovese",86.4187072346922
"3256","Chianti Rufina","Italy","Sangiovese",88.8358716887904
"3273","Sicilia","Italy","Insolia",96.3223891530675
"3276","Etna","Italy","White Blend",94.323057916528
"3283","Salice Salentino","Italy","Red Blend",89.704390353612
"3291","Puglia","Italy","Falanghina",100.179254944554
"3304","Prosecco di Conegliano e Valdobbiadene","Italy","Prosecco",98.200366388494
"3311","Prosecco di Valdobbiadene","Italy","Prosecco",87.4828301027795
"3320","Rosso di Montepulciano","Italy","Prugnolo Gentile",85.049228511249
"3331","Chianti Classico","Italy","Sangiovese",93.8180670238696
"3415","Trentino","Italy","Pinot Grigio",90.3344616734837
"3513","Vernaccia di San Gimignano","Italy","Vernaccia",92.4946854514529
"3564","Terre Siciliane","Italy","Nero d'Avola",98.871210747036
"3587","Terre Siciliane","Italy","Red Blend",88.4493476795561
"3676","Piedmont","Italy","Barbera",85.7614526113214
"3714","Irpinia","Italy","Aglianico",88.5123236238507
"3741","Rosso di Montalcino","Italy","Sangiovese",86.2695041982617
"3743","Rosso di Montalcino","Italy","Sangiovese",95.7411215134033
"3757","Rosso di Montalcino","Italy","Sangiovese",94.8279366942959
"3769","Sannio","Italy","Fiano",93.4242888061237
"3798","Rosso di Montepulciano","Italy","Red Blend",98.4363022850971
"3845","Chianti Classico","Italy","Red Blend",93.476472172732
"3903","Collio","Italy","Pinot Grigio",87.5968118503502
"3911","Trentino","Italy","Pinot Grigio",88.9512928255592
"3912","Trentino","Italy","Sauvignon",94.0218981264238
"3925","Collio","Italy","Ribolla Gialla",89.5463141512832
"3988","Monferrato","Italy","Red Blend",85.8380946621688
"3989","Dolcetto d'Alba","Italy","Dolcetto",88.6190463803077
"3997","Moscato d'Asti","Italy","Moscato",92.2594993003751
"4040","Soave","Italy","Garganega",98.4358729753383
"4041","Soave Classico","Italy","Garganega",94.7342590573155
"4090","Friuli Grave","Italy","Pinot Grigio",92.169986262037
"4186","Vigneti delle Dolomiti","Italy","Cabernet Sauvignon",88.0148229784453
"4210","Vigneti delle Dolomiti","Italy","Nosiola",97.3742388767843
"4222","Soave","Italy","Garganega",93.6647197861281
"4259","Barbera d'Alba Superiore","Italy","Barbera",96.0696318720158
"4274","Barbera d'Alba","Italy","Red Blend",91.2246729795526
"4332","Sicilia","Italy","Perricone",89.4305597897784
"4417","Barbera d'Asti","Italy","Barbera",83.3073052308505
"4442","Romagna","Italy","Albana",103.606994039568
"4446","Chianti","Italy","Red Blend",84.789766848705
"4449","Chianti","Italy","Sangiovese",90.5910672279838
"4464","Frascati Superiore","Italy","White Blend",84.5215565771086
"4557","Colli Aprutini","Italy","Merlot",89.9070114255561
"4568","Montepulciano d'Abruzzo","Italy","Montepulciano",88.9175799268266
"4595","Valpolicella Classico Superiore","Italy","Corvina, Rondinella, Molinara",93.238067872785
"4788","Colli Orientali del Friuli","Italy","Ribolla Gialla",91.997586118442
"4792","Alto Adige","Italy","Pinot Grigio",90.4836975535692
"4794","Maremma","Italy","Vermentino",91.0486863528239
"4799","Umbria","Italy","White Blend",95.7138178691064
"4801","Veneto","Italy","Pinot Grigio",89.0372537446271
"4805","Vernaccia di San Gimignano","Italy","Vernaccia",90.7093993952142
"4812","Valdadige","Italy","Pinot Grigio",94.0668467968564
"4847","Chianti Classico","Italy","Red Blend",98.0442342304052
"4851","Chianti Classico","Italy","Red Blend",86.5774313136555
"4861","Rosso di Montepulciano","Italy","Red Blend",92.9103809021262
"4874","Toscana","Italy","Red Blend",91.2735212845626
"4887","Vino Spumante","Italy","Frappato",91.1733368149137
"4947","Cortona","Italy","Merlot",103.152147162782
"5114","Barbera d'Asti","Italy","Barbera",98.7410252534734
"5185","Morellino di Scansano","Italy","Sangiovese",99.6829458149486
"5221","Sicilia","Italy","Red Blend",96.0809590825148
"5265","Rosso Conero","Italy","Montepulciano",94.2672429716485
"5266","Falerio","Italy","Pecorino",90.6872997057719
"5286","Rosso Piceno","Italy","Red Blend",93.6278211104278
"5299","Maremma","Italy","Syrah",89.1029859215246
"5300","Rosso di Montalcino","Italy","Sangiovese Grosso",92.9602927891842
"5311","Moscato d'Asti","Italy","Moscato",94.2221308372233
"5371","Vernaccia di San Gimignano","Italy","Vernaccia",107.674735417968
"5462","Montepulciano d'Abruzzo","Italy","Montepulciano",90.2914137425845
"5478","Rosso Conero","Italy","Red Blend",86.4355382925853
"5490","Delle Venezie","Italy","Pinot Grigio",92.8261017697702
"5525","Toscana","Italy","Red Blend",89.8967796399652
"5590","Veronese","Italy","White Blend",85.7932348058074
"5592","Alto Adige","Italy","Pinot Bianco",101.45766008434
"5593","Alto Adige","Italy","White Blend",88.6935717504007
"5686","Barbera d'Asti","Italy","Barbera",99.491270281073
"5722","Alto Adige Valle Isarco","Italy","Pinot Grigio",98.8223642162844
"5862","Irpinia","Italy","Falanghina",93.6667624026782
"5863","Vernaccia di San Gimignano","Italy","Vernaccia",89.3854672237308
"5918","Vittoria","Italy","Frappato",84.229943766545
"5953","Taburno","Italy","Greco",83.12647623712
"5967","Orvieto Classico","Italy","White Blend",85.2318879072443
"5971","Sicilia","Italy","Grillo",91.8988791454413
"5989","Puglia","Italy","Aglianico",93.1539350248349
"6000","Bardolino","Italy","Red Blend",94.1183050483343
"6016","Valpolicella Classico Superiore","Italy","Red Blend",97.85809868185
"6078","Chianti Classico","Italy","Red Blend",93.0217095428678
"6082","Chianti Rufina","Italy","Sangiovese",108.825959875001
"6083","Chianti","Italy","Sangiovese",96.7453156378677
"6175","Lambrusco Grasparossa di Castelvetro","Italy","Lambrusco Grasparossa",99.6080236785942
"6196","Barbera d'Asti","Italy","Barbera",94.5050865775886
"6232","Soave Classico","Italy","White Blend",96.0709696151116
"6251","Lugana","Italy","Turbiana",104.325280376838
"6302","Chianti Classico","Italy","Red Blend",87.5012387518279
"6316","Valdobbiadene Prosecco Superiore","Italy","Glera",99.5712945538623
"6376","Veneto","Italy","Red Blend",98.8818098132282
"6417","Sicilia","Italy","White Blend",92.6932073091692
"6485","Montepulciano d'Abruzzo","Italy","Montepulciano",83.3033888124742
"6500","Montepulciano d'Abruzzo","Italy","Montepulciano",87.9850815154354
"6596","Vernaccia di San Gimignano","Italy","Vernaccia",95.8324002203947
"6604","Chianti Colli Senesi","Italy","Sangiovese",93.6401076736525
"6607","Vernaccia di San Gimignano","Italy","Vernaccia",90.0056122108417
"6616","Alto Adige","Italy","Pinot Nero",96.2713096950287
"6626","Toscana","Italy","White Blend",99.672807718262
"6647","Toscana","Italy","Chardonnay",96.0338879880912
"6754","Bolgheri","Italy","Red Blend",92.0653712568902
"6860","Valdobbiadene Prosecco Superiore","Italy","Glera",96.829422400315
"6875","Valdobbiadene Prosecco Superiore","Italy","Glera",89.471160405918
"6884","Alto Adige","Italy","Pinot Grigio",88.3654922326405
"6885","Collio","Italy","Pinot Bianco",102.666249745313
"6886","Collio","Italy","Sauvignon",100.216477981288
"6893","Friuli Colli Orientali","Italy","Ribolla Gialla",87.0647671197589
"6894","Alto Adige","Italy","Sauvignon",106.331127210695
"6896","Collio","Italy","Friulano",90.1789280405432
"6898","Friuli Colli Orientali","Italy","Chardonnay",87.9332088098108
"6902","Trentino","Italy","Pinot Grigio",90.4913597906306
"6903","Trentino","Italy","Pinot Grigio",94.1846101011096
"6907","Friuli Colli Orientali","Italy","Sauvignon",87.2848218741562
"6911","Delle Venezie","Italy","Pinot Grigio",89.1195603777537
"6964","Valpolicella Superiore","Italy","Red Blend",88.4363490223196
"6967","Valpolicella","Italy","Red Blend",81.9758313184859
"6984","Bardolino Classico","Italy","Red Blend",90.3769819026711
"7001","Langhe","Italy","Nebbiolo",103.053268022707
"7012","Lambrusco Grasparossa di Castelvetro","Italy","Lambrusco Grasparossa",86.9596450870421
"7119","Valdobbiadene Prosecco Superiore","Italy","Glera",94.5674674376594
"7154","Moscato d'Asti","Italy","Moscato",86.5226450979941
"7157","Barbera d'Asti","Italy","Barbera",89.6223914732865
"7158","Barbera d'Asti","Italy","Barbera",90.0971052526654
"7160","Italy","Italy","Prosecco",84.5391322920933
"7225","Valpolicella Ripasso","Italy","Corvina, Rondinella, Molinara",92.4477467850958
"7248","Veneto","Italy","Red Blend",88.6393834257766
"7322","Toscana","Italy","Sangiovese",83.2171861351375
"7454","Barbera d'Asti","Italy","Barbera",88.0480644834912
"7455","Barbera d'Asti Superiore","Italy","Barbera",97.5266229565354
"7479","Barbera d'Asti Superiore","Italy","Barbera",89.2700907417424
"7535","Toscana","Italy","Sangiovese",90.7540605386054
"7542","Chianti Classico","Italy","Sangiovese",94.8208287570455
"7543","Chianti Rufina","Italy","Sangiovese",92.1379199167529
"7550","Toscana","Italy","Red Blend",96.9442324214031
"7579","Piave","Italy","Cabernet Sauvignon",89.9142216044289
"7593","Veneto","Italy","Pinot Grigio",94.9557354783486
"7598","Alto Adige","Italy","White Blend",85.4959108054528
"7599","Trentino","Italy","Pinot Grigio",84.9554914285445
"7601","Chianti","Italy","Sangiovese",85.1960152157538
"7610","Veneto","Italy","Pinot Grigio",89.1014674056687
"7630","Prosecco Treviso","Italy","Glera",93.6644367152555
"7641","Valdobbiadene Prosecco Superiore","Italy","Glera",95.0363948881422
"7645","Sicilia","Italy","White Blend",81.6529104187939
"7651","Sicilia","Italy","Grillo",95.8438977968454
"7661","Sicilia","Italy","Red Blend",93.4047355477159
"7662","Sicilia","Italy","White Blend",88.88190738064
"7663","Sicilia","Italy","Nerello Mascalese",94.4441611288325
"7695","Bolgheri","Italy","Red Blend",88.8849858660078
"7892","Lugana","Italy","White Blend",92.7860399605961
"7898","Lugana","Italy","Turbiana",97.3951825542167
"7962","Vernaccia di San Gimignano","Italy","Vernaccia",83.9272700315421
"7963","Vernaccia di San Gimignano","Italy","Vernaccia",89.3211156929364
"7970","Orvieto Classico Superiore","Italy","White Blend",93.5242103830325
"7989","Soave","Italy","Garganega",93.3301945459601
"8006","Soave Classico","Italy","Garganega",95.0176406511326
"8050","Nebbiolo d'Alba","Italy","Nebbiolo",97.581801212575
"8060","Rosso di Montepulciano","Italy","Red Blend",93.4840120040264
"8138","Prosecco Treviso","Italy","Glera",95.6156992314557
"8161","Terre Siciliane","Italy","Inzolia",98.7805867579934
"8168","Basilicata","Italy","Rosato",85.7555248886198
"8194","Trento","Italy","Sparkling Blend",91.3344001694374
"8250","Verdicchio dei Castelli di Jesi","Italy","Verdicchio",92.8611778564866
"8256","Verdicchio dei Castelli di Jesi Classico Superiore","Italy","Verdicchio",94.4290755685249
"8267","Offida Pecorino","Italy","Pecorino",97.8835010904641
"8270","Nebbiolo d'Alba","Italy","Nebbiolo",94.7793452240275
"8346","Rosso Conero","Italy","Red Blend",92.9111724912365
"8354","Vernaccia di San Gimignano","Italy","Vernaccia",82.7323628165685
"8359","Montefalco Rosso","Italy","Red Blend",94.7032596371517
"8374","Vernaccia di San Gimignano","Italy","Vernaccia",96.7859992551663
"8377","Verdicchio dei Castelli di Jesi","Italy","Verdicchio",90.9291822463374
"8492","Maremma","Italy","Cabernet Sauvignon",100.198341588092
"8510","Toscana","Italy","Red Blend",105.363121746648
"8512","Toscana","Italy","Red Blend",84.6756496271762
"8526","Toscana","Italy","Red Blend",96.6079326737371
"8547","Morellino di Scansano","Italy","Red Blend",88.0107031047197
"8632","Bardolino Chiaretto","Italy","Red Blend",88.27777608323
"8651","Valpolicella Classico Superiore Ripasso","Italy","Red Blend",99.9105848875177
"8713","Valpolicella Superiore Ripasso","Italy","Red Blend",94.4225093755264
